2o. Agrupamento;3o. Agrupamento;Recurso;Descrição;Matéria Prima;Compr;Largu;Quant;Etapa Seguinte;carreta
GMS Mont Conj Carr;60 Conjuntos ACESSORIOS;23310;VARÃO DA TRAVA - CBH/CBHM 6T 1 EIXO;023358 - TUBO DO TIRANTE DA TRAVA   CBHM 2 EIXOS;;;2;S Usinagem;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;60 Conjuntos ACESSORIOS;23528;REGULADOR VARÃO DE TRAVA    CBHM 2 EIXOS;023504 - CHAPA DE REGULAGEM VARÃO DE TRAVA   CBHM 2 EIXOS;;;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;60 Conjuntos ACESSORIOS;30791;CONJ ALAV DE COMANDO - FREIO - CBHM M17;030694 - ALAVANCA DE FREIO - CHASSI SC CBH/CBHM 4T M17;;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;60 Conjuntos ACESSORIOS;443785;PINO ENG C/ARRUELA ICAM (M98) FA;"212300 - ARRUELA LISA 27MM POL. CHAPA 3/16""";;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;60 Conjuntos ACESSORIOS;402795;CINTA LONADA EIXO TRAS    F4CC;282005 - REBITE DE ALUMINIO 4X5;;;2;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;60 Conjuntos ACESSORIOS;447006;PORTA CABO - FREIO U4/6 P2/4 A3,5;427020 - CORPO PORTA CABO-FREIO    U4;;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Cx Acessórios;70 Sistemas Carretas;30769;ACESSÓRIOS SC [CBH7 M17];234205 - GRAXEIRO 1/4 UNF       RETO;;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Sist Carr;70 Sistemas Carretas;032381LC;CAÇAMBA COMPLETA UG LARANJA [CBH7 M21];023590 - TRAVA TAMPA TRAS CBH(M12) /  CBHM (31 AGO 2012.../T7113-08/12...);;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Sist Carr;70 Sistemas Carretas;033088CO;KIT MONTAGEM MACACO COMPLETO [CBH/CBHM M17];030389CO - BASE MÓVEL DO MACACO CINZA [CBHM M17];;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Sist Carr;70 Sistemas Carretas;493650;EIXO COMPLETO SC [CBHM6000];"212301 - ARR. DE PRES. MÉDIA - ZB 1/2""";;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;70 Sistemas Carretas;30679;CHASSI DA CACAMBA M17 CBH6,0 1EIXO AB. LATERAL;425795 - APOIO BUCHA GUIA    CBHM;;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;70 Sistemas Carretas;030383CO;MACACO COMPLETO CINZA [CBHM M17];030383 - MACACO COMPLETO [CBHM M17];;;1;S Mont Sistemas Carretas;CBH7 UG SC RD M21 - Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos
